ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,RPL_THEMES
29,MISSOURI,MO,29189,St. Louis,29189221421,"Census Tract 2214.21, St. Louis County, Missouri",0.0123,0.067,0.2659,0.0122,0
29,MISSOURI,MO,29095,Jackson,29095008400,"Census Tract 84, Jackson County, Missouri",0.0007,0.1304,0.2068,0.0137,0.0007
29,MISSOURI,MO,29095,Jackson,29095009100,"Census Tract 91, Jackson County, Missouri",0.018,0.0252,0.3595,0.0324,0.0014
29,MISSOURI,MO,29095,Jackson,29095018500,"Census Tract 185, Jackson County, Missouri",0,0.1888,0.3076,0.0029,0.0022
29,MISSOURI,MO,29189,St. Louis,29189218800,"Census Tract 2188, St. Louis County, Missouri",0.0079,0.219,0.3019,0,0.0029
29,MISSOURI,MO,29095,Jackson,29095008200,"Census Tract 82, Jackson County, Missouri",0.0346,0.0159,0.2932,0.0793,0.0036
29,MISSOURI,MO,29183,St. Charles,29183311132,"Census Tract 3111.32, St. Charles County, Missouri",0.031,0.0439,0.505,0.0151,0.0043
29,MISSOURI,MO,29189,St. Louis,29189221627,"Census Tract 2216.27, St. Louis County, Missouri",0.0065,0.0829,0.6463,0.0036,0.005
29,MISSOURI,MO,29095,Jackson,29095989100,"Census Tract 9891, Jackson County, Missouri",0.1327,0.0555,0.5,0,0.0058
29,MISSOURI,MO,29095,Jackson,29095007200,"Census Tract 72, Jackson County, Missouri",0.0166,0.0684,0.2313,0.0605,0.0065
29,MISSOURI,MO,29095,Jackson,29095008300,"Census Tract 83, Jackson County, Missouri",0.0094,0.0591,0.5562,0.0223,0.0072
29,MISSOURI,MO,29189,St. Louis,29189221626,"Census Tract 2216.26, St. Louis County, Missouri",0.0368,0.1441,0.4207,0.0072,0.0079
29,MISSOURI,MO,29183,St. Charles,29183311296,"Census Tract 3112.96, St. Charles County, Missouri",0.124,0.0929,0.2097,0.0166,0.0087
29,MISSOURI,MO,29037,Cass,29037060400,"Census Tract 604, Cass County, Missouri",0.0151,0.1527,0.183,0.0367,0.0094
29,MISSOURI,MO,29095,Jackson,29095013606,"Census Tract 136.06, Jackson County, Missouri",0.044,0.1866,0.2248,0.0187,0.0101
29,MISSOURI,MO,29189,St. Louis,29189219400,"Census Tract 2194, St. Louis County, Missouri",0.0959,0.1535,0.1268,0.0238,0.0108
